Work Order,Description,Charge To,Charge To Name,Type,Status,Shift,Priority,Created,Creator,Assigned,Scheduled,Fail Code,Actual Finish,Completion Comments
18066617,L1OV:  Replace transformer burner # 27,7236,Bread Oven L1OV,CM,Approved,,2,4/12/18,BBUGRNWCARRASCO,,12/31/1899,,12/31/1899,
18066613,L9TT9:  Replace broken plastic reflector with metal plate and adhesive reflector tape.,7992,Muffin Packing Conveyor L9TT9,CM,Approved,,2,4/12/18,BBUGRNOHERNANDEZ,,12/31/1899,,12/31/1899,
18066612,L9PB:  Replace both the switch and the wand (whisker) for the transfer skew on both sides of the box.,7996,Muffin Proofer L9PB,CM,Approved,,2,4/12/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18066611,L8PB:  Replace both the switch and the wand (whisker) for the transfer skew on both sides of the box.,7995,Muffin Proofer L8PB,CM,Approved,,2,4/12/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18066610,L7PB:  Replace both the switch and the wand (whisker) for the transfer skew on both sides of the box.,7994,Muffin Proofer L7PB,CM,Approved,,2,4/12/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18066569,L2CD_2S2A:  Replace motor and gearbox motor is leaking oil.  Part ID 870074840.13.13.001.  Location MA-02-30 (MOTOR NEEDS TO BE ORDERED).,16136,Line 2 Cooler Discharge Conveyor L2CD_2S2A,CM,Approved,,2,4/12/18,BBUGRNADESANTIS,,12/31/1899,,12/31/1899,
18066568,"L2CD_2S1:  Mount for photo eye is weak and moves very easily.  Replace mount with something more secure, install photo eye, and align with reflector.",16132,Line 2 Cooler Discharge Conveyor L2CD_2S1,CM,Approved,,2,4/12/18,BBUGRNADESANTIS,,12/31/1899,,12/31/1899,
18066557,"L2TC03C:  frame broken need to fix, picture",14721,Bread Full Basket Conveyors L2TC03C,CM,Approved,,2,4/11/18,BBUGRNNSHAWA,,12/31/1899,,12/31/1899,
18066553,L2MD:  REPAIR LOCKS ON METAL DETECTOR CABINETS ON LINE 2 WRAPPING,7173,Bread Metal Detector L2MD,CM,Approved,,2,4/11/18,BBUGRNJTOTH,,12/31/1899,,12/31/1899,
18066534,L2P5:  replace Idler roller or switch one that’s not that important,16076,Line 2 Proofer Feed Conveyor L2P5,CM,Approved,,2,4/11/18,BBUGRNWCARRASCO,,12/31/1899,,12/31/1899,
18066268,"7 DAY RUNNING PM - Line 2 Dough Chunk (Elevator Front) Conveyor, L2CHNK1-C1",16052,"Line 2 Dough Chunk (Elevator Front) Conveyor, L2CHNK1-C1",PM,Approved,2,,4/11/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18066265,7 DAY PM - Line 2 Oven Discharge Conveyor L2OULB (Running PM),16328,Line 2 Oven Discharge Conveyor L2OULB (Running PM),PM,Approved,,,4/11/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18066264,7 DAY PM - Line 2 Oven Discharge Conveyor L2OULA (Running PM),16107,Line 2 Oven Discharge Conveyor L2OULA (Running PM),PM,Approved,,,4/11/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18066263,7 DAY PM - Line 2 Oven Discharge Conveyor L2OULC (Running PM),16110,Line 2 Oven Discharge Conveyor L2OULC (Running PM),PM,Approved,,,4/11/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18066259,7 DAY PM - Line 2 Oven Feed Conveyor L2OF_L2OL (Running PM),16105,Line 2 Oven Feed Conveyor L2OF_L2OL (Running PM),PM,Approved,,,4/11/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18066257,7 DAY PM - Line 2 Oven Discharge Conveyor L2D4 (Running PM),16121,Line 2 Oven Discharge Conveyor L2D4 (Running PM),PM,Approved,,,4/11/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18066256,7 DAY PM - Line 2 Oven Discharge Conveyor L2D3 (Running PM),16119,Line 2 Oven Discharge Conveyor L2D3 (Running PM),PM,Approved,,,4/11/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18066249,7 DAY PM - Line 2 Oven Feed Conveyor L2OF_P17 (Running PM),16103,Line 2 Oven Feed Conveyor L2OF_P17 (Running PM),PM,Approved,,,4/11/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18066248,7 DAY PM - Line 2 Oven Feed Conveyor L2OF_P16 (Running PM),16101,Line 2 Oven Feed Conveyor L2OF_P16 (Running PM),PM,Approved,,,4/11/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18066247,7 DAY PM - Line 2 Oven Discharge Conveyor L2D2 (Running PM),16117,Line 2 Oven Discharge Conveyor L2D2 (Running PM),PM,Approved,,,4/11/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18066243,7 DAY PM - Line 2 Oven Discharge Conveyor L2D1R (Running PM),16113,Line 2 Oven Discharge Conveyor L2D1R (Running PM),PM,Approved,,,4/11/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18066242,7 DAY PM - Line 2 Oven Discharge Conveyor L2D1L (Running PM),16115,Line 2 Oven Discharge Conveyor L2D1L (Running PM),PM,Approved,,,4/11/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18066241,7 DAY PM - Line 2 Oven Feed Conveyor L2OF_P15 (Running PM),16099,Line 2 Oven Feed Conveyor L2OF_P15 (Running PM),PM,Approved,,,4/11/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18066238,7 DAY PM - Line 2 Oven Feed Conveyor L2OF_P14 (Running PM),16097,Line 2 Oven Feed Conveyor L2OF_P14 (Running PM),PM,Approved,,,4/11/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18066237,7 DAY PM - Line 2 Oven Feed Conveyor L2OF_P13 (Running PM),16095,Line 2 Oven Feed Conveyor L2OF_P13 (Running PM),PM,Approved,,,4/11/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18066236,7 DAY PM - Line 2 Oven Feed Conveyor L2OF_P12 (Running PM),16093,Line 2 Oven Feed Conveyor L2OF_P12 (Running PM),PM,Approved,,,4/11/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18066226,7 DAY PM - Muffin Proofer L8PB,7995,Muffin Proofer L8PB,PM,Approved,,,4/11/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18066166,L1PR06A:  lacing is coming apart.  Replace belt and lacing.,7333,Bread Pan Return Conveyor L1PR06A,CM,Approved,,2,4/11/18,BBUGRNSNAZIM,,12/31/1899,,12/31/1899,
18066097,"L1W1:  needs a new belt, conveyor discharge (lacing coming apart).",7248,Bread Overwrapper L1W1,CM,Approved,,2,4/10/18,BBUGRNBAHUMADA,,12/31/1899,,12/31/1899,
18066069,L2PF_R42:  Output shaft seal is leaking replace motor and gear box,16318,Line 2 Pan Feed Conveyor L2PF_R42,CM,Approved,,2,4/10/18,BBUGRNADESANTIS,,12/31/1899,,12/31/1899,
18066064,L1DM2B:  Gearbox  is leaking lots of oil in an area that can cause lots of contamination to product. Needs to be changed ASAP. We will clean up the oil drip pan and top it off but we do not have this gearbox in stock according to somax,7081,Bread Dough Piece Conveyors L1DM2B,CM,Approved,,S,4/10/18,BBUGRNJCLAY,,12/31/1899,,12/31/1899,
18066039,M11MIX:  Repair air leak oil shortening valve,15714,Bread Dough Mixer M11MIX,CM,Approved,,2,4/9/18,BBUGRNOHERNANDEZ,,12/31/1899,,12/31/1899,
18066029,"18066029    l7PB  -replace phenolic proofer chain slippers / chain guide  1/4"" x 2""w x 6"" L",7994,Muffin Proofer L7PB,CM,Approved,,2,4/9/18,BBUGRNSARRICK,,12/31/1899,,12/31/1899,
18066028,"wo# 18066028 replace em proofer main cross shaft 2 11/16"" x 109"" turned down both ends . Needs to be made ed flores quote # 757",7994,Muffin Proofer L7PB,CM,Approved,,2,4/9/18,BBUGRNSARRICK,,12/31/1899,,12/31/1899,
18066027,"wo#18066027 replace broken lexan guards in em packaging on the following pices of equipment
Line 9 and 7 box former doors
line 8a bagger
, line 7 kk forksplitter two doors. This is a safety concern derricks sheet metal to make and replace them.",11744,Muffin Starbucks Box Former L9BTF1,CM,Approved,,1,4/9/18,BBUGRNSARRICK,,12/31/1899,,12/31/1899,
18066026,L7TT04:  need to replace all mounting bolts with round head bolts.,7949,Muffin Packing Conveyor L7TT4,CM,Approved,,2,4/9/18,BBUGRNSARRICK,,12/31/1899,,12/31/1899,
18066024,"L7TT03- wear strip is missing , replace all mounting bolts with round head bolts.",7948,Muffin Packing Conveyor L7TT3,CM,Approved,,2,4/9/18,BBUGRNSARRICK,,12/31/1899,,12/31/1899,
18065991,L1CD04:  shaft is very long. Needs to be shortened.,6753,Bread Cooler Discharge Conveyors L1CD04,CM,Approved,,2,4/9/18,BBUGRNSNAZIM,,12/31/1899,,12/31/1899,
18065990,"L2LF_L26:  Motor cable pulled out of fitting.  Place back in fitting or, if the cable is too short, replace with a new cable.     *****Ensure that the wire size is the same on the new cable (if need to replace).*****",16196,Line 2 Lid Feed Conveyor L2LF_L26,CM,Approved,,2,4/9/18,BBUGRNSNAZIM,,12/31/1899,,12/31/1899,
18065988,"L1TD1:  Missing wear strip operator side, first rail",13095,Bread Basket Trash Dump Conveyors L1TD1,CM,Approved,,2,4/9/18,BBUGRNMIHUNTER,,12/31/1899,,12/31/1899,
18065986,L2TD4:  Wear strips and rails worn and broken. Need replacement rails and wear strips... rails are 54 inches long by 1-1/4 inch tall.. need 4 rails.,14580,Bread Basket Trash Dump Conveyors L2TD4,CM,Approved,,2,4/8/18,BBUGRNMIHUNTER,,12/31/1899,,12/31/1899,
18065972,L2DENSTR:  The denester conveyor drive shaft is worn at bearing on motor side due to no motor support shaft is approx. 45” long straight key 1 1/4 wide the bearings are dodge # SB206-20G need two bearings  and shaft for job,14575,Bread Basket Denester L2DENSTR,CM,Approved,,2,4/8/18,BBUGRNROROL,,12/31/1899,,12/31/1899,
18065963,"As MMU will be short-handed for pre-flight, prep and light the line 1 oven to get it ready for production.",7236,Bread Oven L1OV,CM,Approved,1,2,4/8/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18065949,L3TD4- operator side chain conveyor track worn and broken needs to be repaired / reweld,14580,Bread Basket Trash Dump Conveyors L2TD4,CM,Approved,,,4/8/18,BBUGRNROROL,,12/31/1899,,12/31/1899,
18065948,L9OV1 Replace combustion blower motor,7857,Muffin Band Oven L9OV1,CM,Approved,,,4/8/18,BBUGRNGSMITH,,12/31/1899,,12/31/1899,
18065923,"L2W4: UBE wrapper replace elevator table part# 175-LT-201 item code # 2012100, replace rollers part# part# 175-lt-214 need 2 , part# 175-LT215 1 needed , springs part# 175-LT-202 3 needed , 2 reverse arm sub assy part# 175-pf-210 *****ENSURE THAT ALL PURCHASED PARTS ARE USED*****",7255,Bread Overwrapper L2W4,CM,Approved,1,2,4/8/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18065922,TRAYWASH:  L2 Dumpster alarm is not sounding when it should,BREAD LINE 2 WRAPPING,BREAD LINE 2 WRAPPING,CM,Approved,,2,4/8/18,BBUGRNMHUGUES,,12/31/1899,,12/31/1899,
18065893,"L1AST:  Replace rodless cylinder (32mm x 52"").",13081,Bread Basket Stacker L1AST,CM,Approved,,2,4/8/18,BBUGRNKHARRIS,,12/31/1899,,12/31/1899,
18065891,L7KK:  Replace cross feed chain a.s.a.p. Take up is at limit,8010,Muffin Splitter / Box Former / Loader L7KK,CM,Approved,,2,4/8/18,BBUGRNGCOHEN,,12/31/1899,,12/31/1899,
18065888,L2PF_R19:  Replace belts (Belt type S900 with grip 7.5 wide),16262,Line 2 Pan Feed Conveyor L2PF_R19,CM,Approved,,2,4/8/18,BBUGRNADESANTIS,,12/31/1899,,12/31/1899,
18065873,L2PR_R4T:  Replace broken belt I do not have belt info do to the line running,16392,Line 2 Pan Return Conveyor L2PR_R4T,CM,Approved,,2,4/8/18,BBUGRNADESANTIS,,12/31/1899,,12/31/1899,
18065849,L2PF_R21:  Two conveyor links need replacing,16271,Line 2 Pan Feed Conveyor L2PF_R21 (Running PM),CM,Approved,,2,4/7/18,BBUGRNCSERNA,,12/31/1899,,12/31/1899,
18065836,L2D4:  Replace 30” 900 series Intralox belt (friction is gone).,16120,Line 2 Oven Discharge Conveyor L2D4,CM,Approved,,2,4/7/18,BBUGRNWCARRASCO,,12/31/1899,,12/31/1899,
18065832,L9PTC2:  Replace belt,8002,Muffin Proofer Transfer Conveyor L9PTC2,CM,Approved,,2,4/7/18,BBUGRNOHERNANDEZ,,12/31/1899,,12/31/1899,
18065824,"L9TT7:  conveyor is extremely worn and cracking. Needs to be replaced. 4” wide tabletop with no tabs, I could not find a match in the lean room.",7990,Muffin Packing Conveyor L9TT7,CM,Approved,,2,4/7/18,BBUGRNJCLAY,,12/31/1899,,12/31/1899,
18065820,M10MIX:  replace safety switch,15713,Bread Dough Mixer M10MIX,EM,Approved,,S,4/7/18,BBUGRNADESANTIS,,12/31/1899,,12/31/1899,
18065818,Replaced unresponsive Mini-Beam photo eye SM2A312LVAG,7477,Bread Pan Unstacker Discharge Conveyor L1PUS1,EM,Approved,4,1,4/7/18,BBUGRNADESANTIS,,12/31/1899,,12/31/1899,
18065810,"L9C conveyors need to be relabeled. There are 2 conveyors labeled L9C12, two conveyors labeled L9C8, and one conveyor labeled L9C7 on one side and L9C9 on the other. I was given a PM to do on L9C11 and I nor anyone I called can find a conveyor with that label.",MUFFIN LINE 9,MUFFIN LINE 9,CM,Approved,,2,4/7/18,BBUGRNJCLAY,,12/31/1899,,12/31/1899,
18065807,L9KKLC:  Nose / transfer bar grinds against conveyor and appears to be crooked and has a lot of side to side play.,8041,Muffin Wrapping Feed Conveyors L9KKLC,CM,Approved,,2,4/7/18,BBUGRNJCLAY,,12/31/1899,,12/31/1899,
18065780,"L9PTC1:  replace take up shaft , that has the new bearing on L8 side .ID for bearing 1-1/2” , shaft belt diameter =3”, by 76” long ,no rush.",8001,Muffin Proofer Transfer Conveyor L9PTC1,CM,Approved,,2,4/6/18,BBUGRNRPICHARDO,,12/31/1899,,12/31/1899,
18065776,L9KK:  Replace worn plastic bushings for plungers. Waiting for parts to arrive.,8013,Muffin Splitter / Box Former / Loader L9KK,CM,Approved,,2,4/6/18,BBUGRNTSZWEJTYS,,12/31/1899,,12/31/1899,
18065732,BUILDING:  Assist Shawn on getting rid of motor/rollers and other parts from BDA cage.,13223,Building and Grounds,CM,Approved,,2,4/6/18,BBUGRNSBOOTH,,12/31/1899,,12/31/1899,
18065729,L8BATL:  Please replace shut off valve. Thank you...,13067,Muffin Auto Tray Loader L8BATL,CM,Approved,,2,4/6/18,BBUGRNTSZWEJTYS,,12/31/1899,,12/31/1899,
18065728,L9ATL:  Please replace all 15 sprockets for the infeed conveyor. Thank you...,13068,Muffin Auto Tray Loader L9ATL,CM,Approved,,2,4/6/18,BBUGRNTSZWEJTYS,,12/31/1899,,12/31/1899,
18065727,"L7OV1:  brush #1 and brush #2 not touch the belt, replace   / brushes on order 

requested quote : 3/8/2018 scott",7853,Muffin Band Oven L7OV1,CM,Approved,,2,4/6/18,BBUGRNSARRICK,,12/31/1899,,12/31/1899,
18065723,wo# 18065723 Muffin Proofer L9PB install 2 immersion chromalox heaters with two water proof couplings . Installation to be by Westo F.G Corporation per quote to scott  parts request in 4/6/2018,7996,Muffin Proofer L9PB,CM,Approved,,2,4/6/18,BBUGRNSARRICK,,12/31/1899,,12/31/1899,
18065720,wo# 18065720 Muffin Proofer L9PB assemble trays in shop with new Fenner wheels per quote T688058 from Kaman  4/6/2018 per scott 2 week lead time,7996,Muffin Proofer L9PB,CM,Approved,,2,4/6/18,BBUGRNSARRICK,,12/31/1899,,12/31/1899,
18065719,wo# 18065719  Muffin Auto Tray Loader L7ATL  spare head sent out to AMF USA for inspection rebuild Spare parts quoted by amf 4/6/2018 quote # DH-18Q-029  per scott,13066,Muffin Auto Tray Loader L7ATL,CM,Approved,,2,4/6/18,BBUGRNSARRICK,,12/31/1899,,12/31/1899,
18065655,BT3:  (in shop) needs a new bag switch,16368,Bread Tyer (LH) BT-3 (S/N 15376),CM,Approved,,2,4/5/18,BBUGRNROROL,,12/31/1899,,12/31/1899,
18065654,L8PB:  Couple of transfer skew alarms. Found wand on operator side worn needs to be replaced. Temp repair made with wire tie.,7995,Muffin Proofer L8PB,CM,Approved,,2,4/5/18,BBUGRNRDACOSTA,,12/31/1899,,12/31/1899,
18065653,L1DIV:  Install temp robe for L1 divider (waiting on parts),14512,Bread Dough Divider L1DIV,CM,Approved,,2,4/5/18,BBUGRNSBOOTH,,12/31/1899,,12/31/1899,
18065636,L7TT9:  BEARING IS CRACKED AND GREASE COMES THROUGH CRACKS WHEN TRYING TO LUBRICATE BEARING. INSIDE BEARING OF THE NON-DRIVE END OF HINGED CONVEYOR. 1-1/4” SHAFT    check inspect the entire conveyor and provide a parts list of whats needed with part#s,7954,Muffin Packing Conveyor L7TT9,CM,Approved,,2,4/5/18,BBUGRNSARRICK,,12/31/1899,,12/31/1899,
18065635,"L9C1:  Replace the 1-1/8"" coupling insert (rubber) on main drive unit for carousel .    need info for ordering please provide coupler info",7917,Muffin Cooler L9C1,CM,Approved,,2,4/5/18,BBUGRNSARRICK,,12/31/1899,,12/31/1899,
18065634,L7OV2 REPLACE THERMOCOUPLES #1 #2 AND #3. THEY ARE MOUNTED INCORRECTLY. P/N MUOVEN116 NEED TO ORDER NONE IN STOCK,7854,Muffin Band Oven L7OV2,CM,Approved,,2,4/5/18,BBUGRNSARRICK,,12/31/1899,,12/31/1899,
18065627,L9PTC2:  INSTALL FRL ON AIR SUPPLY P/N FRL1200 & P/N MB120 COIL HOSE PNEUMATICS,8002,Muffin Proofer Transfer Conveyor L9PTC2,CM,Approved,,2,4/5/18,BBUGRNSARRICK,,12/31/1899,,12/31/1899,
18065626,L9PTC1:  INSTALL FRL ON AIR SUPPLY P/N FRL1200 & MB120 COIL HOSE PNEUMATICS,8001,Muffin Proofer Transfer Conveyor L9PTC1,CM,Approved,,2,4/5/18,BBUGRNSARRICK,,12/31/1899,,12/31/1899,
18065625,L7PTC2:  INSTALL FRL ON AIR SUPPLY P/N FRL1200 & P/N MB120 COIL HOSE PNEUMATICS,7998,Muffin Proofer Transfer Conveyor L7PTC2,CM,Approved,,2,4/5/18,BBUGRNSARRICK,,12/31/1899,,12/31/1899,
18065624,"L9B1:  replace bag table rail track. See pic      ***For parts information only. Get part numbers needed and provide to the maintenance planner or submit a purchase request. Put your labor toward the work order, but DO NOT CLOSE THE WORK ORDER.***  new rail in lean room in box please check numbers before installation",7851,Muffin Bagger L9B1,CM,Approved,,2,4/5/18,BBUGRNSARRICK,,12/31/1899,,12/31/1899,
18065623,L9OV2:  PHB3 REPLACE THE AIR GAS MIXER P/N 092910 AND GASCOCK P/N 111600 SEOVEN138 AND CLEAN ALL PIPES LEADING TO TRIZONE MIXER HIGH PRIORITY,7858,Muffin Band Oven L9OV2,CM,Approved,,2,4/5/18,BBUGRNSARRICK,,12/31/1899,,12/31/1899,
18065622,L9ATL: Please order and replace aluminum side plate for load conveyor. Conveyor has worn through. new side plates are in line 9 staging cage . you will need to remove each side and mark and drill each plate to match the old ones then reinstall. Save the old side plates if we can use part of them. place on metal rack,13068,Muffin Auto Tray Loader L9ATL,CM,Approved,,2,4/5/18,BBUGRNSARRICK,,12/31/1899,,12/31/1899,
18065605,L1DM2B:  Replace broken pieces (shorten belt if necessary).,7081,Bread Dough Piece Conveyors L1DM2B,CM,Approved,,2,4/5/18,BBUGRNTCLEAR,,12/31/1899,,12/31/1899,
18065590,L8BMD:  REPLACE THE BELT DRIVE SPROCKETS P/N INT/S1100/3.5 PD/EZ 5pcs AND BELT P/N S1100/FG/PP-W/16” AND DONUTS 3.0 OD/HDPE 5pcs,7935,Muffin Metal Detector L8BMD,CM,Approved,,2,4/5/18,BBUGRNDDUHANCIK,,12/31/1899,,12/31/1899,
18065506,"PALSUS (BIG SLICE) LID STACKER/UNSTACKER:  magnet not releasing 1, lid causing stops",16373,Line 2 PALSUS (Big Slice) Bread Pan Lid Stacker/Unstacker,CM,Approved,,2,4/4/18,BBUGRNPSOLTIS,,12/31/1899,,12/31/1899,
18065504,Work With Shawn on verifying ingredients with Action Scale.,INGREDIENTS GR,INGREDIENTS GR,CM,Approved,,2,4/4/18,BBUGRNSBOOTH,,12/31/1899,,12/31/1899,
18065461,90 DAY PM - Muffin Splitter / Box Former / Loader L9KK,8013,Muffin Splitter / Box Former / Loader L9KK,PM,Approved,,,4/4/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18065455,30 DAY PM - Muffin Bagger L8BB1,7850,Muffin Bagger L8BB1,PM,Approved,,,4/4/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18065452,90 DAY PM - Line 2 Lid Feed Conveyor L2LF_L26A,16198,Line 2 Lid Feed Conveyor L2LF_L26A,PM,Approved,,,4/4/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18065364,1 DAY PM - Bread Cooler - Spiral L1SPCO,6747,Bread Cooler - Spiral L1SPCO,PM,Approved,,,4/4/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18065148,1 DAY PM - Muffin Dough Mixer EMMIXR1,16000,Muffin Dough Mixer EMMIXR1,PM,Approved,,,4/4/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18065102,1 DAY PM - Bread Dough Mixer M10MIX,15713,Bread Dough Mixer M10MIX,PM,Approved,,,4/4/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18065094,1 DAY PM - Bread Dough Mixer M11MIX,15714,Bread Dough Mixer M11MIX,PM,Approved,,,4/4/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18065073,7 DAY PM - Bread Basket Unstacker L1UNSTKR,13096,Bread Basket Unstacker L1UNSTKR,PM,Approved,,,4/4/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18065008,7 DAY PM - Muffin Proofer L9PB,7996,Muffin Proofer L9PB,PM,Approved,,,4/4/18,BBUGRNDPOWELL,,12/31/1899,,12/31/1899,
18064979,L1ETC3A:  Drive sprockets and belt are extremely worn and need to be replaced immediately.,13088,Bread Basket Feed Conveyors L1ETC3A,CM,Approved,,1,4/4/18,BBUGRNJCLAY,,12/31/1899,,12/31/1899,
18064962,L1WW20:  inverter keeps tripping (F06).  Find out info for AC unit on main panel and replace (panel is excessively hot).,7602,Bread Slicer Feed Conveyors L1WW20,CM,Approved,,1,4/3/18,BBUGRNRDACOSTA,,12/31/1899,,12/31/1899,
18064946,have a wash down cart built for the two spare pan cleaner brushes for line 2 pan cleaner. Paul Derricks to build per his quote.,15715,Bread Pan Cleaner L2PC,CM,Approved,,3,4/3/18,BBUGRNSARRICK,,12/31/1899,,12/31/1899,
18064942,"Replace damaged bagger discharge bed , broken and may cut someone. This would be made and installed by Paul Derricks",7851,Muffin Bagger L9B1,CM,Approved,,2,4/3/18,BBUGRNSARRICK,,12/31/1899,,12/31/1899,
18064935,BUILDING:  A difference in pressure between the building (make up) and the spiral cooler is causing a misalignment of the rows coming out of the cooler (we opened/blocked open doors and the bread straightened out.,13223,Building and Grounds,CM,Approved,,2,4/3/18,BBUGRNPSOLTIS,,12/31/1899,,12/31/1899,
18064934,L7ST:  Replace motor and brake unit.,7882,Muffin Basket Stacker L7ST,CM,Approved,,2,4/3/18,BBUGRNGSMITH,,12/31/1899,,12/31/1899,
18064927,L1DIV:  There is a small stainless steel cube used to wash out the divider on line 2.  It is too heavy to move safely.  Please put wheels on it or have Derrick's build a dolly for it.,14512,Bread Dough Divider L1DIV,CM,Approved,,S,4/3/18,BBUGRNPCARLUCCI,,12/31/1899,,12/31/1899,
18064885,"M11MIX:   Replace hydraulic fluid for bowel tilt, its not maintaining pressure.",LINE 2 MIXING,BREAD LINE 2 MIXING AREA EQUIPMENT,CM,Approved,,2,4/2/18,BBUGRNRDACOSTA,,12/31/1899,,12/31/1899,
18064871,L1PB:  Need air Oiler set up model P14B-02 + model L14-02 + the shut off valve.,15801,Bread Proofbox L1PB,CM,Approved,,2,4/2/18,BBUGRNWCARRASCO,,12/31/1899,,12/31/1899,
18064868,L8ROU:  Replace bad vibrator for zigzag board,8007,Muffin Rounding Table L8ROU,CM,Approved,,1,4/2/18,BBUGRNJTHOMPSON,,12/31/1899,,12/31/1899,
18064864,L1C05:  replace all missing or damaged lower chain guides under conveyor,6835,Bread Cooler Feed Conveyors L1C05,CM,Approved,,2,4/2/18,BBUGRNADESANTIS,,12/31/1899,,12/31/1899,
18064862,POTWASHER:  Dumping hot water down the drain in the pot washer (hot water does not shut off) 24/7.,BREAD MIXING POT-WASH SYSTEM,BREAD MIXING INGREDIENT CONTAINER POT-WASH,CM,Approved,,2,4/2/18,BBUGRNPCARLUCCI,,12/31/1899,,12/31/1899,
